23.176.184.0/24,NL,NL-LI,Eygelshoven,6471 WV
193.68.89.0/24,NL,NL-LI,Eygelshoven,6471 WV
195.96.129.0/24,NL,NL-LI,Eygelshoven,6471 WV
2a14:7c0:3900::/40,NL,NL-LI,Eygelshoven,6471 WV
